RemoteRepoName,LocalRepoName,RemoteRepoURL,TargetDirectory
vba.core,core,https://github.com/ATECoder/vba.core.git,lib\vba\core
vba.winsock,winsock,https://github.com/ATECoder/vba.winsock.git,lib\vba\iot
